l	2-220	2-121	2022	2-230	2-131	2032	2133	2-240	2-141	2042	2143	2244	3-32-1	3-220	3-121	3022	3-33-1	3-230	3-131	3032	3133	3-34-1	3-240	3-141	3042	3143	3244	4-42-2	4-32-1	4-220	4-121	4022	4-43-2	4-33-1	4-230	4-131	4032	4133	4-44-2	4-34-1	4-240	4-141	4042	4143	4244
2	0.13870786324693263	0.08179956688268383	0.03082760445341648	-0.19222428971041902	-0.14966406975661548	-0.08467266484216926	-0.03256863420869323	0.16682647496421238	0.14922123768722356	0.10338948727746088	0.056407493793974674	0.01994467044362987	-0.25008667284624697	0.07034676697338364	0.003368907074136026	-0.008736494874644144	0.16447444740948983	-0.010343103233112442	0.0487573097157434	0.05169275565206506	0.03046270874521312	-0.03946208550125164	-0.08723358240758187	-0.12629151161195465	-0.11506017974014611	-0.08090282447160405	-0.040902899904577836	0.24008618022598094	0.05864405785906693	-0.05168982332807947	-0.023877533174993644	-0.0066751746583576	0.053491400935850246	-0.1765615364140883	0.10377186899580688	0.04121750999998366	0.007525251224260818	-0.0037735580649465765	-0.1072948699012072	0.15641765978648975	-0.06403324135084532	0.003912279695964475	0.03544752312964617	0.039529056357299024	0.026830362705070956
3	0.2735149009063425	0.2158921327654535	0.10030098273133978	-0.2963378852150386	-0.33623326704758005	-0.24659195451288884	-0.11559888721633803	0.15789162508427465	0.2471569070547363	0.24463950250124913	0.17351475719914017	0.07551099282972622	-0.4561535262555729	0.24967539686178952	0.06766392960653972	-0.006884486623445784	0.1614288554350127	-0.08970002812064483	0.03720803716837555	0.1019257787168667	0.08649658981237085	0.08913477124103751	-0.13496528476818254	-0.21305068500609683	-0.24984354536027548	-0.22321353631640356	-0.13993370310029896	0.40767445882204045	-0.06408825578210234	-0.07337299568666124	-0.07061861846434314	-0.031586618840893754	0.23975016271568145	-0.24620620667072288	0.23560013942633665	0.15689543238437795	0.07058722208971141	0.013227096666688773	-0.20833353213885714	0.18436071954320582	-0.1550448868776844	-0.0713370988768451	0.013575756326122762	0.06460043345212632	0.06735842175145705
4	0.23430495548940844	0.26728573314902154	0.16196673131031597	-0.14845181911529692	-0.3165482821415918	-0.33782878565985736	-0.2067931063266102	-0.03256475002216258	0.09824267428798868	0.22692636768890875	0.24900281727872833	0.14593370215140267	-0.34362303383525034	0.35529770874519395	0.1834975367665707	0.03387975131152744	-0.04182021052879977	-0.08739713137301709	-0.06036849333957232	0.04971225726503669	0.10499671726694762	0.17940077196219964	-0.16100599411874747	-0.16375202645456607	-0.22291300515548518	-0.2736626969719035	-0.23347340687504964	0.2714411141436745	-0.2500148397302477	0.051305392224136964	-0.05918509067991077	-0.05642600483056648	0.3228399378117096	-0.20985146190466905	0.20295642865794378	0.21030432306614633	0.15935763429372682	0.0702585741288446	-0.08326287171592776	0.10475545777150053	-0.12201815162640023	-0.1281765865098171	-0.0836949915705271	-0.005544227517424294	0.055814938895296526
5	0.1599904446689003	0.23327322610607507	0.18285826258089266	-0.05968843713967955	-0.1933706726163819	-0.30994494783729065	-0.25728637419674977	-0.031475188367619686	-0.028166134855253804	0.09754657210046266	0.22659049518853797	0.19627670653224666	-0.21599672762196911	0.2985260523288916	0.24304357218180989	0.09151233442599044	-0.06848758307298144	0.024639931372686833	-0.07145025312139612	-0.03950467680619597	0.0632245976888994	0.05771242239670651	-0.1803499206277507	-0.17090308574085744	-0.15330916939668857	-0.21049931734412905	-0.2586289969778143	0.1614153737093668	-0.20924867682836698	0.1686653261413607	0.030607632522139435	-0.04407266007181755	0.21215127202357448	-0.26123246242954645	0.156495413099664	0.140752999035184	0.1645493258436565	0.1230367467215219	0.04418581534266138	0.07589828908212796	-0.0817105265952451	-0.08180375788364234	-0.10097992850068938	-0.08750153231966916	-0.015264064496081487
6	0.12423848444192387	0.18766052916971496	0.1739333726480741	-0.05400566155180747	-0.12471100689072477	-0.2414904132562947	-0.26250443209110286	0.010533457714463814	-0.018828025970486845	0.016318490068789427	0.1565393057682507	0.21345321653311378	-0.17115302329789808	0.22154571619610783	0.22636969569616058	0.12679330582915502	-0.027621526151110336	0.05520105951082709	-0.009651460601373826	-0.06701375415970225	0.004036125299780165	0.016199782915759672	-0.10026004900224424	-0.18606704996102957	-0.15996489178878912	-0.14613293921206033	-0.2245744870316031	0.13371834717638365	-0.13291199620311453	0.1579841169951285	0.101456156753164	-0.00020793772510230068	0.1412390488937834	-0.21945641593172832	0.1947115856261574	0.10237701863527472	0.10126529945545068	0.12471911002485009	0.014420349057961227	-0.007502231840973748	-0.08161619362648655	-0.0759843711873434	-0.05974175862110645	-0.08933925518303577	-0.08124389197685214
7	0.10008912634511491	0.15436458882754564	0.15569418595784623	-0.042031918367080624	-0.09707487754566244	-0.18797736060194944	-0.24437395509647222	-5.364484086193867e-06	-1.8209911969208335e-08	8.328833636756125e-06	0.09766975308337701	0.2072060749740442	-0.13722429671439026	0.18046236673526642	0.1917148244757917	0.1345086789030873	-0.028138433966049065	0.03480967056818283	0.018156717493657566	-0.04972452608630714	-0.03517390880137386	0.0346137057961554	-0.05173870624445382	-0.13403144473789716	-0.1725187787102707	-0.12899578952647248	-0.17545680989600665	0.10590285939289547	-0.11396132163659817	0.11936048825865217	0.11197947713147967	0.038533237067881816	0.12418703686885066	-0.15121553726629522	0.18274764085875309	0.12381962668476061	0.06223476939562745	0.09020775932770757	-0.0041598178438281615	-0.020305226141509147	-0.024302356086957255	-0.09031351281631735	-0.06547232950610635	-0.057712955936572684	-0.10231096989791325
8	0.08287457742885929	0.12953358831853679	0.13733497507754727	-0.034008549316431345	-0.07853933516376155	-0.15209076458590037	-0.22013130166095551	1.7160028234377531e-06	-3.0008465290647652e-06	2.6033106856171684e-06	0.062389977152000835	0.19117441807594418	-0.11326760802949855	0.15048978797130255	0.16379581861993242	0.12887436412296543	-0.023959951292909253	0.03071165523724806	0.019329798414383124	-0.031765396636756635	-0.052415330852271125	0.024043151489105855	-0.0526911020908769	-0.09313856771303784	-0.1520807970635304	-0.12970045080221562	-0.13629760845133396	0.08725412466465159	-0.09497188998169162	0.10166011026705037	0.10087383078411481	0.057418790305699435	0.10149812603467502	-0.13229156960842448	0.1420809540847066	0.1264639277240303	0.05893545403309894	0.0556829665421759	0.0066355611381309024	0.004608832493266401	0.0022919101413412645	-0.056260248497004464	-0.08389787248908577	-0.04978145328447231	-0.09332364111513217
9	0.07009120143802523	0.11055647965997145	0.12106661966296654	-0.028298226392528297	-0.06535203587647527	-0.1265536941796901	-0.19656202893886568	-6.039621695488287e-08	-1.5754258435828755e-08	-1.003723285151738e-08	0.041974048144282364	0.17313371912073244	-0.09558837953140717	0.12790000120644246	0.14148019851125235	0.11921389080313252	-0.020653606332296223	0.02707129503525126	0.018859613060995685	-0.021372147011724955	-0.0579306056815998	0.02001099304100303	-0.043836592273927735	-0.07750199854931177	-0.12655041365194025	-0.1265156778978549	-0.10925553218053202	0.07354059866421736	-0.0806833418208307	0.08762559664760204	0.09007604102336642	0.0634597964118959	0.08584422917305651	-0.11255249343179627	0.12224875523639442	0.11179091931219222	0.060631829732397155	0.03363271727136021	0.004717055800653838	-0.002513015152057512	-0.007408046950451095	-0.03004922129568366	-0.07649246835733904	-0.057083827865704755	-0.07845712318832555
10	0.060290152593287134	0.0957185629488209	0.10718243416576731	-0.0240535434702915	-0.05554919447214389	-0.10757056406757216	-0.17550975593464313	7.06298158859102e-08	2.5331522628947473e-09	-1.526149557924989e-08	0.029418671042780297	0.1560154696481462	-0.08209334223529102	0.11040132617126397	0.12352383958227722	0.10887367926708609	-0.018006163531142906	0.0239667642680957	0.01777629576800517	-0.014979265969890566	-0.05825532450296626	0.017008314640741633	-0.037263595484407705	-0.06587326443132205	-0.10757057497715085	-0.1192469248218327	-0.09024899967792618	0.06309966623503449	-0.06962390406078611	0.07639395556425099	0.08042868727303838	0.06381550670961486	0.07383999451480555	-0.0972323252075276	0.1064381844980078	0.09915650813790852	0.05883704496533651	0.02058924390624586	0.004341849384679384	-0.0027890456095633754	-0.0051852942040433595	-0.02379748951248083	-0.062263834426268864	-0.061711243715199454	-0.06636079469981887
11	0.052579829126168175	0.08388108009650241	0.09545260648026307	-0.020790504960663012	-0.048013704614800895	-0.09297816395016292	-0.15724235716396162	-7.137411065084003e-08	-9.347075859035915e-09	-1.9990306084777953e-08	0.021314604239811512	0.1406684025774953	-0.07151108929414902	0.09653319620970884	0.10891342686202654	0.09906074082123074	-0.01585985846539572	0.021343818299280126	0.01651200681035206	-0.010852880807678378	-0.056276575503610045	0.014701219563078348	-0.03220849921548347	-0.05693725521510459	-0.09297818388149726	-0.11076584812581058	-0.0762856300103348	0.054927655053329895	-0.060864780983101906	0.06728740438649917	0.07205751376956288	0.0616478945634649	0.06439693812665527	-0.08506821034275415	0.09366183070088034	0.08842016797903965	0.05565439134797086	0.0125393573116227	0.003969209611827531	-0.0028460097697343306	-0.0037595933209657343	-0.019418195705870705	-0.05200682748116671	-0.06200994142297658	-0.05714227002992624
12	0.046384708570122765	0.07427031980288885	0.08554057364109735	-0.01821485657389764	-0.04206533571821273	-0.08145919645630689	-0.14153522063217772	6.430438839764389e-08	-2.9639130826822163e-09	-2.4773246621917327e-08	0.015872899733379995	0.12720244293326075	-0.06302905882326293	0.08532846014688186	0.0968817096360583	0.0901632896838296	-0.014096587931548363	0.01912749861595911	0.015247538494179156	-0.008082104215487164	-0.053338519557900546	0.012879744006060645	-0.02821835461185465	-0.04988336793430272	-0.08145922356541524	-0.1022834784455036	-0.06566291973400899	0.04838688335033809	-0.05379105000536448	0.05980700655776706	0.06485960533972593	0.05842941429516044	0.05680937696024297	-0.07522808237235756	0.08319013156446467	0.07931448928808046	0.05202732069661606	0.0074060682061646435	0.0036251752302638492	-0.002788432423244668	-0.002799629015703602	-0.01623129236514539	-0.0443286245502481	-0.06023273068735819	-0.049915358805321414
