l	2-222	2-232	2-133	2-242	2-143	2044	3-321	3-222	3-331	3-232	3-133	3-341	3-242	3-143	3044	4-420	4-321	4-222	4-430	4-331	4-232	4-133	4-440	4-341	4-242	4-143	4044
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.014893651844918676	-0.05034701033838418	-0.030835011535875093	0.08173383445518743	0.07282317377787409	0.037845416717795066	-0.055496796468643285	0.020142615722613968	0.10539121693132704	-0.05416306021442638	-0.013115267166604612	-0.10457147793129817	0.05603620330884507	0.009090401069739991	-0.009265977944244727	0.11183077151609966	-0.03010770926898297	0.0018205178006011266	-0.11604043781060659	0.021806887591652495	0.01304141012009665	0.011521366466065436	0.04690421433393028	0.03411159371242291	-0.05335956694528528	-0.037188661410124696	-0.01473634681958938
5	0.02155458427509094	-0.060441798665338664	-0.054768011823906795	0.06899268037976944	0.10538858909188756	0.07759342889250315	-0.07017422871122657	0.041573113545047266	0.10034723040913632	-0.10042912364037324	-0.04270244519045482	-0.046065568373859854	0.08429166275231398	0.04917936580026378	0.0020772016140853024	0.1238120795544625	-0.07870423869062405	0.01907083198469354	-0.07196228433476497	0.07768396608270864	-0.016811234801044173	0.012412059364403743	-0.03844505079397427	0.007572997564454986	-0.041387170404602415	-0.05815052831697385	-0.03848652749457715
6	0.018521626034356985	-0.03912860701270279	-0.05751957976296277	0.018233038449384422	0.08010395016014739	0.0947330265755811	-0.049841964563396325	0.048531726852889916	0.04089297845261067	-0.095908962453349	-0.0696199840768763	0.025555181712411865	0.04102574760021859	0.07451045597002799	0.033720845847975765	0.07170018097688179	-0.09340196976675955	0.04311135509465693	0.005194931652899181	0.07032098720976354	-0.06280360601771245	-0.010428867925790791	-0.06477926504187524	0.032395871866326864	-0.0046264742348971835	-0.03089218535780983	-0.04602100419540203
7	0.01316425781222771	-0.020940728929922756	-0.04649137294023685	1.8078346784618447e-08	0.04164107657597544	0.08657447403766898	-0.029815914876146866	0.04136391067202248	0.01259476480966543	-0.06116793177253604	-0.07498861565300682	0.019565992992824004	-0.008253035215966186	0.05593124237532038	0.059889532440223825	0.036548099845399015	-0.07052381718246345	0.05403467794861754	0.014056430246616474	0.020922480015880308	-0.0697039891829723	-0.04089035500351947	-0.016537100715755815	0.05912899072291394	-0.016784067066392416	0.005449812690627879	-0.024267016644786008
8	0.009216822657687588	-0.012463416154828329	-0.03434514650135856	2.2217642902322707e-06	0.01982679093015168	0.06869132731753963	-0.019080633312787774	0.03115855039681969	0.007141242051644521	-0.035020935137884866	-0.06425582057916869	0.004824298301369585	-0.016717010515458142	0.02471978718091644	0.06563531209308672	0.022897787751827263	-0.046265703325561514	0.049464897695567375	0.005045250508817893	3.965633175353368e-07	-0.04597423971206704	-0.055522149603060615	-0.0006770766431317114	0.033815650389129114	-0.04097208308650093	0.007959668038767886	0.0059550028972432415
9	0.006555993646464523	-0.007985310017704472	-0.025148479631743607	8.048556698413864e-09	0.01037105906949843	0.05209327886225578	-0.01285366991887307	0.023043315158278163	0.0044061379568513	-0.021789034249778096	-0.05040910353799337	0.0030946763509282355	-0.010709956414975456	0.007111311881540397	0.05808872230133324	0.015208849723644164	-0.03166629416158153	0.03983974489124689	0.0035920434046184243	-0.0011612325654793206	-0.02601482865647704	-0.05346146328420094	-0.003736833015727353	0.01287661644773144	-0.03689903119976166	-0.006768492504554523	0.023377123649635304
10	0.0047677232930934885	-0.005403141211847308	-0.01861864516152388	-4.3782664624687205e-09	0.005828033580312137	0.03936833904609917	-0.009017704623196395	0.017161843896699495	0.0028956926130492174	-0.014411531274152692	-0.038819122698259635	0.0020926410737881	-0.007249069407264155	0.00036344637952077794	0.04747980678729066	0.01056551743111673	-0.02245735039314303	0.03111059866659995	0.0026114003329702905	-0.0013810677552379132	-0.015849674377962347	-0.04529297254578515	-0.0024854174395266978	0.00859140519468684	-0.02463634758871851	-0.014980434685311399	0.02750952908680939
11	0.0035450984081858536	-0.0038132893480764814	-0.014010914496986658	1.998708773859323e-09	0.0034668052820896545	0.030023386896088113	-0.00653842815714841	0.012965178669337085	0.0019971091052827716	-0.00999073332182357	-0.029956592816305912	0.0014768746101279286	-0.00511606664184294	-0.0021619225534250126	0.03795199253720523	0.00760592787657338	-0.016409531281553893	0.024213625169152025	0.0019417255548226878	-0.001297161967291967	-0.010232132149902928	-0.03692199192264944	-0.0017333903617666158	0.005993117516542911	-0.017209837281252673	-0.016225213222837393	0.025769880554609693
