l	2-233	2-243	2-144	3-322	3-332	3-233	3-342	3-243	3-144	4-421	4-322	4-431	4-332	4-233	4-441	4-342	4-243	4-144
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.016040525134107916	-0.04167094812671277	-0.0294708426784082	0.016040525134107916	-0.05218971802814792	0.023727903136809756	0.0784816183202192	-0.048680666570172164	-0.014142561306208883	-0.049111360891298014	0.01389506089800821	0.0876306513575362	-0.03224823008103279	0.0031787342561835764	-0.07519661536194018	0.018976498616791748	0.01131713014193795	0.012136044023635164
6	0.020442500482708764	-0.04084805238296983	-0.046226608035591664	0.020442500482708764	-0.0539507445475388	0.04280082650986719	0.05201849622318312	-0.0741217559112456	-0.03964881264470461	-0.05392078246287893	0.02996684655663594	0.06843777722569115	-0.06768434773075363	0.022518585956750728	-0.014125768299420301	0.04598866131850123	-0.014925638716400095	0.01048906164253055
7	0.016032582624740978	-0.020820532212625056	-0.044185130518980105	0.016032582624740978	-0.030819700644094908	0.04506032970558851	0.006341909581057142	-0.05679727396786406	-0.05780638351308576	-0.034358162860273544	0.034717963152569656	0.021037237383297727	-0.065019104989947	0.044019072590888324	0.029264052877720374	0.019968434507905176	-0.041829206856773715	-0.011080301433481467
8	0.010584033971272956	-0.008247287567440755	-0.03305651100951984	0.010584033971272956	-0.014712553905736349	0.0353802376151336	-0.004850993136686563	-0.026561473438939387	-0.05700045360326336	-0.01879445429028376	0.02841688160711874	0.0036367237291447703	-0.03849396619208592	0.04983055813411949	0.01583417066513562	-0.014030874089184723	-0.03450427174672506	-0.03431421894654553
9	0.006918153012408902	-0.0037187333113670802	-0.022789375722458247	0.006918153012408902	-0.00790340223264144	0.02483927390584017	-0.0026647885394380016	-0.00977482813169319	-0.0453697665812161	-0.011102513963342045	0.020246451712688716	0.0016415339520130206	-0.01955275820117542	0.0421433161439492	0.003970858534147332	-0.016811355063214097	-0.0127378788127687	-0.04223374259410465
10	0.004610875605182749	-0.0018429870447581795	-0.015638250113229026	0.004610875605182749	-0.004616330546014728	0.017206315814152367	-0.0015861831402312683	-0.003634414424277353	-0.03331988800748014	-0.006950334887059631	0.014129554586354653	0.0008126858258176237	-0.010903245807930036	0.031723786889227765	0.0023369848426248773	-0.009887023104179367	-0.0005459888252755741	-0.03777794957734877
11	0.0031521596250048745	-0.0009827453429251834	-0.010886868107435164	0.0031521596250048732	-0.0028718570975024625	0.0120468851669729	-0.0010008828633332792	-0.0012274028887267997	-0.024123167527021608	-0.004555497230694248	0.00993665590522622	0.0004333469176585458	-0.006524607814457927	0.02327395968052255	0.0014601174131973263	-0.006187140488928103	0.0030911320419730968	-0.030027440288226667
12	0.002210021653594913	-0.0005556594194851426	-0.007727227514166059	0.0022100216535949134	-0.00187684791391512	0.008582883626121076	-0.0006615557216848834	-0.0002556811881936884	-0.01755993440354463	-0.0030996232294528536	0.007100080160222405	0.0002450246485807045	-0.004127412711831039	0.01708094705593	0.0009580929537550933	-0.004061566465097477	0.003835148613257103	-0.023074418042244003
