l	2-22-2	2-12-1	2020	2121	2222	2-23-2	2-13-1	2030	2131	2232	2-24-2	2-14-1	2040	2141	2242	3-22-2	3-12-1	3020	3121	3222	3-33-3	3-23-2	3-13-1	3030	3131	3232	3333	3-34-3	3-24-2	3-14-1	3040	3141	3242	3343	4-22-2	4-12-1	4020	4121	4222	4-33-3	4-23-2	4-13-1	4030	4131	4232	4333	4-44-4	4-34-3	4-24-2	4-14-1	4040	4141	4242	4343	4444
2	0.46225852349027857	-0.23110522646320159	-0.4622430169908796	-0.2311052264632014	0.46225852349027885	0.6836560917216734	0.43241921064524746	-1.4169465773160068e-16	-0.43241921064524763	-0.6836560917216733	0.25835300209557066	0.36546186737809105	0.40034112099473507	0.3654618673780909	0.2583530020955705	-0.6836560917216734	-0.43241921064524746	1.4169465773160068e-16	0.43241921064524763	0.6836560917216733	-3.263771984572414e-05	3.7348149114084235e-05	-3.366889501368891e-05	-3.109095709419116e-05	-3.366889501364531e-05	3.734814911401884e-05	-3.263771984594213e-05	-0.5604802484643023	-0.4891449897322195	-0.2734889721875037	8.038446929004268e-17	0.27348897218750373	0.48914498973221976	0.5604802484643024	0.25835300209557066	0.36546186737809105	0.40034112099473507	0.3654618673780909	0.2583530020955705	0.5604802484643023	0.4891449897322195	0.2734889721875037	-8.038446929004268e-17	-0.27348897218750373	-0.48914498973221976	-0.5604802484643024	-0.23530841161359983	-0.05879950157058965	0.06717887710535722	0.14291935686799084	0.16813379713557797	0.14291935686799082	0.06717887710535723	-0.05879950157058957	-0.23530841161359958
3	-0.06114847001629753	0.12228940903198865	1.0899589056276974e-16	-0.12228940903198839	0.061148470016297814	-0.2411608836828139	0.0762559798214625	0.2157051234001364	0.07625597982146244	-0.24116088368281394	-0.2734402717083497	-0.19337380317113703	6.539753433766185e-17	0.19337380317113695	0.2734402717083496	0.2411608836828139	-0.0762559798214625	-0.2157051234001364	-0.07625597982146244	0.24116088368281394	-0.14266733635932402	0.14266168552576036	0.14268918142730022	-1.8529301395670857e-16	-0.14268918142730047	-0.14266168552576058	0.14266733635932377	0.06741020185298566	0.014682272516584943	-0.032872580567565216	-0.050937924978507264	-0.03287258056756532	0.014682272516584986	0.06741020185298563	-0.2734402717083497	-0.19337380317113703	6.539753433766185e-17	0.19337380317113695	0.2734402717083496	-0.06741020185298566	-0.014682272516584943	0.032872580567565216	0.050937924978507264	0.03287258056756532	-0.014682272516584986	-0.06741020185298563	0.20233863581226053	-0.10118727014847838	-0.18785796975497027	-0.13009034909475764	7.629712339393882e-17	0.13009034909475792	0.18785796975497057	0.10118727014847853	-0.20233863581226022
4	0.004441087836471672	-0.01779750776069945	0.02667504063162066	-0.017797507760699362	0.00444108783647198	0.052623375608062996	-0.08320051960039304	-4.35983562251079e-17	0.08320051960039293	-0.05262337560806313	0.14645519513260807	-0.03451576244175973	-0.1260519508574155	-0.034515762441759676	0.14645519513260816	-0.052623375608062996	0.08320051960039304	4.35983562251079e-17	-0.08320051960039293	0.05262337560806313	0.05943969821631095	-0.1386665333105128	0.019814687102390188	0.11887721488719197	0.019814687102390104	-0.13866653331051298	0.059439698216310795	0.07352393245069354	-0.04812805418423014	-0.0645917346887371	8.71967124502158e-17	0.06459173468873726	0.048128054184230315	-0.07352393245069341	0.14645519513260807	-0.03451576244175973	-0.1260519508574155	-0.034515762441759676	0.14645519513260816	-0.07352393245069354	0.04812805418423014	0.0645917346887371	-8.71967124502158e-17	-0.06459173468873726	-0.048128054184230315	0.07352393245069341	-0.043115337068670115	0.06465978575628899	0.033844789371690685	-0.027709774220504337	-0.055426966267912825	-0.0277097742205043	0.03384478937169084	0.06465978575628913	-0.04311533706867
5	1.0610910824612491e-05	6.550661239074387e-06	-6.539753433766185e-17	-6.5506612391125354e-06	-1.0610910824274603e-05	-0.00519013779099662	0.016427848852518172	-0.023215155227284703	0.016427848852518	-0.0051901377909970335	-0.04121933733979259	0.05828822067408434	4.35983562251079e-17	-0.058288220674084144	0.04121933733979285	0.00519013779099662	-0.016427848852518172	0.023215155227284703	-0.016427848852518	0.0051901377909970335	-0.012298061864433402	0.04914987940537506	-0.06144445469349335	4.9048150753246384e-17	0.061444454693493265	-0.049149879405375234	0.012298061864433375	-0.04912188407857958	0.08573978271863948	-0.004797868932342547	-0.07427066291256479	-0.00479786893234228	0.08573978271863972	-0.049121884078579335	-0.04121933733979259	0.05828822067408434	4.35983562251079e-17	-0.058288220674084144	0.04121933733979285	0.04912188407857958	-0.08573978271863948	0.004797868932342547	0.07427066291256479	0.00479786893234228	-0.08573978271863972	0.049121884078579335	-0.011334496966814335	0.031195334539198195	-0.011334730517553048	-0.02552856424603267	8.71967124502158e-17	0.025528564246032778	0.011334730517553111	-0.03119533453919805	0.011334496966814243
6	-1.0498611212928938e-05	-1.6045222266913415e-06	2.2929326662593825e-06	-1.6045222267812632e-06	-1.0498611212661897e-05	-8.217862598291376e-06	-7.291470445024903e-06	8.71967124502158e-17	7.291470445005147e-06	8.217862597915339e-06	0.004873088817283372	-0.013791045134258776	0.01886897745174984	-0.013791045134258542	0.004873088817283722	8.217862598291376e-06	7.291470445024903e-06	-8.71967124502158e-17	-7.291470445005147e-06	-8.217862597915339e-06	0.00109529264371908	-0.006537159608446484	0.016352361976110466	-0.02179031135486777	0.01635236197611024	-0.006537159608446801	0.0010952926437191306	0.013222460455004265	-0.04036260395701305	0.045135631244174176	-2.7248972640692436e-18	-0.04513563124417406	0.0403626039570132	-0.013222460455004052	0.004873088817283372	-0.013791045134258776	0.01886897745174984	-0.013791045134258542	0.004873088817283722	-0.013222460455004265	0.04036260395701305	-0.045135631244174176	2.7248972640692436e-18	0.04513563124417406	-0.0403626039570132	0.013222460455004052	0.009588562276873679	-0.040762185390185876	0.052742535343345914	0.00239309622190972	-0.047963460905470434	0.0023930962219100116	0.05274253534334618	-0.04076218539018561	0.00958856227687351
7	8.941699300100372e-06	7.267873092455877e-08	-3.269876716883092e-17	-7.267873091638407e-08	-8.941699299751585e-06	9.801224669443348e-06	2.1906425117729387e-06	-2.9057465028397128e-06	2.19064251174024e-06	9.801224669050963e-06	6.498079415554938e-06	7.500213132981728e-06	-1.0899589056276974e-17	-7.5002131328454824e-06	-6.4980794151611904e-06	-9.801224669443348e-06	-2.1906425117729387e-06	2.9057465028397128e-06	-2.19064251174024e-06	-9.801224669050963e-06	-1.6902018588475133e-06	-6.062822254638519e-06	-7.942258177756119e-06	1.9074280848484705e-17	7.942258177646442e-06	6.062822254262483e-06	1.690201858791653e-06	-0.001417095769599495	0.006461685088089067	-0.014456213238238334	0.018652325655474197	-0.0144562132382381	0.006461685088089351	-0.0014170957695993204	6.498079415554938e-06	7.500213132981728e-06	-1.0899589056276974e-17	-7.5002131328454824e-06	-6.4980794151611904e-06	0.001417095769599495	-0.006461685088089067	0.014456213238238334	-0.018652325655474197	0.0144562132382381	-0.006461685088089351	0.0014170957695993204	-0.0024447985369889184	0.014664636368366544	-0.03419354929282727	0.03420470456770653	2.4524075376623192e-17	-0.03420470456770634	0.034193549292827495	-0.01466463636836632	0.0024447985369888746
8	-7.585859362631269e-06	-7.048227217625354e-08	-6.1079492433228355e-09	-7.048227207475111e-08	-7.58585936225319e-06	-8.854229730401869e-06	-1.2043333044564763e-07	-5.586039391341949e-17	1.20433330349595e-07	8.854229730106217e-06	-9.034927007983219e-06	-2.5367223627674375e-06	3.2226760551530014e-06	-2.536722362775612e-06	-9.034927007712092e-06	8.854229730401869e-06	1.2043333044564763e-07	5.586039391341949e-17	-1.20433330349595e-07	-8.854229730106217e-06	3.2735531618077016e-07	9.231020039007851e-06	3.0223374113008247e-06	-3.7151178266638276e-06	3.022337411266764e-06	9.231020038622278e-06	3.2735531604316283e-07	2.490022394373272e-06	4.6297204133060315e-06	8.048033270699416e-06	6.812243160173109e-18	-8.048033270520255e-06	-4.629720412886397e-06	-2.490022394257464e-06	-9.034927007983219e-06	-2.5367223627674375e-06	3.2226760551530014e-06	-2.536722362775612e-06	-9.034927007712092e-06	-2.490022394373272e-06	-4.6297204133060315e-06	-8.048033270699416e-06	-6.812243160173109e-18	8.048033270520255e-06	4.629720412886397e-06	2.490022394257464e-06	0.00023864783735468454	-0.0019035032060850136	0.006632631789304889	-0.01327304813903323	0.016582969612723538	-0.013273048139033022	0.006632631789305152	-0.0019035032060848679	0.00023864783735479285
9	6.584370178467517e-06	6.372569670934668e-08	6.539753433766185e-17	-6.372569655947733e-08	-6.58437017812963e-06	7.679896359909393e-06	1.1205290030545834e-07	1.013561412277975e-08	1.1205290030545834e-07	7.679896359735001e-06	8.552609037128029e-06	1.5592632263643675e-07	-1.634938358441546e-17	-1.5592632264733635e-07	-8.552609036841915e-06	-7.679896359909393e-06	-1.1205290030545834e-07	-1.013561412277975e-08	-1.1205290030545834e-07	-7.679896359735001e-06	-1.2846070014477442e-07	-8.971923375420893e-06	-1.9622362395600033e-07	-6.812243160173109e-17	1.9622362381839302e-07	8.97192337499036e-06	1.2846070000852954e-07	-5.213422684316577e-07	-8.558847266328853e-06	-3.52390815967371e-06	4.1464149263821185e-06	-3.52390815966826e-06	-8.558847266029115e-06	-5.213422684425574e-07	8.552609037128029e-06	1.5592632263643675e-07	-1.634938358441546e-17	-1.5592632264733635e-07	-8.552609036841915e-06	5.213422684316577e-07	8.558847266328853e-06	3.52390815967371e-06	-4.1464149263821185e-06	3.52390815966826e-06	8.558847266029115e-06	5.213422684425574e-07	-5.336989853785076e-07	3.6197555902060917e-06	3.5127775927797918e-06	8.06841288222686e-06	-1.2262037688311596e-17	-8.068412881973444e-06	-3.5127775923383584e-06	-3.6197555900589472e-06	5.336989855311018e-07
10	-5.809693318318438e-06	-5.4507052729012806e-08	-1.7689533155934435e-09	-5.450705269937955e-08	-5.809693317953302e-06	-6.778427942413108e-06	-9.866394955676472e-08	-1.0899589056276974e-17	9.866394950771658e-08	6.778427942061596e-06	-7.547570616230361e-06	-1.414206140426073e-07	-1.1878251111550503e-08	-1.4142061400718364e-07	-7.547570615900989e-06	6.778427942413108e-06	9.866394955676472e-08	1.0899589056276974e-17	-9.866394950771658e-08	-6.778427942061596e-06	1.1183317089958341e-07	7.915477793793533e-06	1.7606543395203363e-07	1.5484776267091346e-08	1.760654338866361e-07	7.915477793407108e-06	1.1183317082941731e-07	1.835098662316324e-07	8.826600474770801e-06	2.524021571906772e-07	2.7248972640692436e-17	-2.5240215708985595e-07	-8.826600474378416e-06	-1.8350986616078506e-07	-7.547570616230361e-06	-1.414206140426073e-07	-1.1878251111550503e-08	-1.4142061400718364e-07	-7.547570615900989e-06	-1.835098662316324e-07	-8.826600474770801e-06	-2.524021571906772e-07	-2.7248972640692436e-17	2.5240215708985595e-07	8.826600474378416e-06	1.8350986616078506e-07	5.822891884996821e-08	-8.366330648974031e-07	-7.975805689287592e-06	-4.128295019516201e-06	4.650704258031212e-06	-4.1282950194153805e-06	-7.975805688898614e-06	-8.366330647952195e-07	5.822891887176739e-08
11	5.187752850492819e-06	4.4803263436751346e-08	-4.9048150753246384e-17	-4.480326350214888e-08	-5.187752850160382e-06	6.059124720975099e-06	8.252056699838342e-08	1.8365880818689646e-09	8.252056690573691e-08	6.059124720506417e-06	6.752975835272032e-06	1.229025237871214e-07	2.179917811255395e-17	-1.229025236835753e-07	-6.752975834844223e-06	-6.059124720975099e-06	-8.252056699838342e-08	-1.8365880818689646e-09	-8.252056690573691e-08	-6.059124720506417e-06	-9.311502218914376e-08	-7.078567608351923e-06	-1.519522668046688e-07	3.6786113064934787e-17	1.5195226679155522e-07	7.078567608001773e-06	9.311502222048008e-08	-1.574069232116764e-07	-7.894130041728551e-06	-2.2104337697285894e-07	-1.6243619075945924e-08	-2.210433768066402e-07	-7.894130041281667e-06	-1.5740692307543155e-07	6.752975835272032e-06	1.229025237871214e-07	2.179917811255395e-17	-1.229025236835753e-07	-6.752975834844223e-06	1.574069232116764e-07	7.894130041728551e-06	2.2104337697285894e-07	1.6243619075945924e-08	2.210433768066402e-07	7.894130041281667e-06	1.5740692307543155e-07	3.792785038662741e-09	2.6241934255066373e-07	8.814871029490909e-06	3.2438490894104134e-07	-1.3624486320346218e-18	-3.24384908842945e-07	-8.814871029165965e-06	-2.624193424893535e-07	-3.792785134034145e-09
