l	212-2	222-1	203-3	213-2	223-1	2-14-4	204-3	214-2	224-1	312-2	322-1	3320	303-3	313-2	323-1	3330	3-14-4	304-3	314-2	324-1	3340	412-2	422-1	4320	4421	403-3	413-2	423-1	4330	4431	4-14-4	404-3	414-2	424-1	4340	4441
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	-0.027359194912303122	-0.054713564717960926	0.038539875594439374	0.08477942871367963	0.11210320678296418	-0.03468744369114723	-0.08009823822535533	-0.1223403176553243	-0.12975107209747083	0.009752526939078585	0.05241330187634309	0.13563825610644897	0.01019257675892226	-0.007216942788770761	-0.06777135612214487	-0.16107148490779705	-0.033426579704355044	-0.04976332117610824	-0.037893711692217294	0.015619518691990094	0.09997498100207616	0.008650351605406396	0.012228155874761748	-0.024040273343861402	-0.1965175550164382	-0.012138231893424464	-0.035561608245096944	-0.06078260749149173	-0.0497561330203918	0.08767246512145044	-0.002233736984801308	0.014439878143028011	0.05059301840364328	0.09712869146186645	0.1183972405851678	0.026307922764014002
4	0.0579113291974785	0.08422618271102802	-0.09344345467664221	-0.15572113452434466	-0.13786606430247644	0.09284099845480452	0.16393578070582163	0.17334254921427714	0.10212790905119724	-0.03940489827162964	-0.12458497995099699	-0.18685191839668513	-0.0015939493387860698	0.06168710296058828	0.14808282392556274	0.1498952680505278	0.069237241058558	0.06578845667262599	0.015008222077716649	-0.0335612856569392	-0.007822455507426208	-0.0122523486582553	0.017354934053786727	0.12737804125270408	0.24350700439197973	0.03923553006845089	0.07117259637156327	0.06184663803035167	-0.003153190469225439	-0.009736502246645188	-0.01942575821409629	-0.06906411585209843	-0.11845987043310045	-0.1333042378443283	-0.10421788453996729	-0.1197175420199843
5	-0.06857665385124538	-0.0685689578102661	0.12821641084045368	0.14927213376106582	0.07440397816391385	-0.14227422105900905	-0.1733796548563931	-0.09755052843609063	1.4091579312498003e-05	0.0744327741124928	0.14928123983955527	0.12818909260498532	-0.03719346981644006	-0.1215800255943403	-0.13337743948205366	-0.03157589993155741	-0.06784981790128497	-0.019795409335093155	0.017186065961823368	-0.02373141229192275	-0.08088843665353825	-0.007901147517314664	-0.0864496178584659	-0.1806874637757827	-0.1401236609824085	-0.05533476372157666	-0.047015423522295215	0.0067731395818271	0.009143964268190604	-0.08363648946131046	0.06492296014266392	0.11290110985702985	0.11184536305742807	0.08549514618549757	0.09387831185411415	0.09288829102519226
6	0.06086512922905669	0.04564609938275686	-0.1286057137047398	-0.10287153311828812	-0.032530862076888545	0.1581102395874365	0.12054495451614301	0.019975431233437955	-0.014124694495369171	-0.08947525752082931	-0.12087893207670493	-0.07458351682948945	0.07806163803648399	0.12314976195589031	0.05967637333222783	-0.0031839515569490164	0.029759949101926877	-0.019780995660262615	0.015665497479208576	0.07388293509151367	0.033066177942634986	0.043021762479794536	0.12292437729238344	0.1333512117040702	0.0733800962571803	0.03502887264710096	-0.01332534501295071	-0.02333523102367639	0.05317614991687516	0.05742462648595286	-0.09347074405875844	-0.0913038614412194	-0.06389933119817048	-0.0819349432009665	-0.09477273221866732	-0.0028274187180604917
7	-0.04879747603185527	-0.03210359835172452	0.11070179677186014	0.0672861678746267	0.02128042037505705	-0.14652002461034525	-0.06766315559135777	-4.812580750514062e-06	-3.356089587104597e-06	0.08374319111081889	0.0870386303236186	0.051444409424884485	-0.09476612326368218	-0.0872979969331442	-0.022335101492516655	-0.003449684541995572	0.00968380070269232	0.01316599126142923	-0.05244314764822661	-0.04883722298443016	-0.00392808981694764	-0.06579549045805477	-0.10853536848392026	-0.08458763359287116	-0.052748267624847925	0.003989180383973916	0.03762948731436558	-0.01377405924444891	-0.05544280044760594	-0.026877250425213238	0.08212239046523213	0.048851323567337714	0.0638696868723925	0.09292096736175783	0.03341328458822313	-0.0025523560473269626
8	0.03855232904636929	0.02355976004112126	-0.09050740117621965	-0.0470638521101901	-0.014882906467680451	0.12490075605891801	0.03762134109907024	2.8822010819915157e-06	-2.013544725995586e-06	-0.07097996303288476	-0.06480329898792486	-0.03728906054301541	0.09099626377280894	0.05756705569047132	0.01422625020790624	0.0019142641319176278	-0.03048337741774616	0.008305949951347999	0.04991065566026609	0.022323177100775804	0.008156049409040888	0.06908615927014324	0.08332922985340904	0.062080187345685586	0.03801258437683613	-0.03136147751850437	-0.025748006221973395	0.028412568926561813	0.03317645032098455	0.022353769351100658	-0.05177904045290541	-0.037161146130150285	-0.0786918046590804	-0.05759845657199255	-0.007391476479735384	-0.0086562993188256
9	-0.030653449607220305	-0.017881179721349366	0.07340286154933397	0.03454253040487095	0.010923303594126991	-0.10362756498958092	-0.022436041619971422	-2.3864509170787076e-09	1.088708293864113e-08	0.05871276155846637	0.049654883936089585	0.028065800955678108	-0.07996704875357173	-0.0403894747674085	-0.009693482041449843	-0.001142377101606283	0.036351201197098504	-0.019788992275089515	-0.03663416308061915	-0.016388273049033206	-0.005981446063220582	-0.06300755233705539	-0.06511603587841115	-0.047115670484551016	-0.028497578914864537	0.0411342087557877	0.012285402304146147	-0.023810905629725283	-0.025725007616129746	-0.01696289053766234	0.027166585960852717	0.04362096408683602	0.0679061278445457	0.029623780891068853	0.012094570386650044	0.003956568511388522
10	0.024671707913642146	0.013944880102769014	-0.05983444574715289	-0.02629090090813135	-0.008313911952479495	0.0856720416308627	0.014132242444756386	-2.6179363540322534e-09	-4.5172151976289624e-10	-0.04845002646768511	-0.0389830547378708	-0.021757984257934525	0.06835985318408244	0.029681076877289034	0.006953850758764183	0.000719577505772955	-0.03561724365678773	0.022849624409565693	0.027885707598390035	0.012470877698417598	0.004553713512099287	0.054952345234242354	0.05180959213621583	0.0367437860940001	0.022029958990693287	-0.04161150632437076	-0.005590406946691473	0.019808455552902622	0.020356976012001562	0.013229273403705456	-0.013244180943296744	-0.046510099162606046	-0.050739638796369904	-0.022076507705644104	-0.00897272597431597	-0.0029249717914265013
11	-0.020123385076524367	-0.011120821353548645	0.04923184017906707	0.020587871260620127	0.00651045892040977	-0.07116238030021384	-0.009302429085747126	-4.728205014622319e-10	-5.711784700844229e-09	0.04019496797438501	0.031239848308132673	0.01727590903652949	-0.058022755277878715	-0.02260744702000858	-0.005191338659571205	-0.0004736622695075473	0.03265514009556552	-0.022560823447693293	-0.021836738249907773	-0.009765687726881092	-0.0035659147122992984	-0.04722438617200379	-0.041918501215587066	-0.029302582711389375	-0.01745493654660825	0.038759974806424735	0.0021230017609539993	-0.01651995467827049	-0.016407911114626594	-0.01055012976313756	0.005916072416725799	0.0443981061213361	0.03916826169785581	0.017000385813431766	0.00689246664580243	0.0022361957484939763
12	0.01662619744700292	0.009035978229973297	-0.04093321297966882	-0.016495484626698788	-0.005216325435857845	0.05956698149338576	0.006349136993354345	-3.3882103862115733e-09	-9.817518390341496e-09	-0.033616325236490274	-0.02547635311853142	-0.013990607504170915	0.04930031747524068	0.017716066354640077	0.004000404615086103	0.00032327172245567257	-0.029145711133619495	0.02099766427703455	0.01749610466593809	0.007824489858807742	0.002857116887505986	0.04046113573208554	0.034429424946766686	0.02380918098649505	0.014112792730387664	-0.034920056302563604	-0.00028982665050670403	0.01386727200478291	0.013438527353288758	0.00857229476716007	-0.0019513532492255092	-0.040566572397917715	-0.031026958458277982	-0.013443314334396802	-0.005437381067360022	-0.0017581091196594899
13	-0.01390145540242636	-0.007459321187092635	0.03438694402923451	0.013468231203486464	0.004259031732463267	-0.05029089785860119	-0.004467022028276063	2.211029246745885e-09	-9.33915669175975e-09	0.028363290805855836	0.021090667201756508	0.011519636034424444	-0.042077906695157596	-0.014206690264072905	-0.003162993855282322	-0.00022745835800449824	0.02573279192822607	-0.019040960494906292	-0.014285222841893026	-0.0063885529312020465	-0.002332747666031326	-0.034739300433405736	-0.028658491314839604	-0.019654781998322688	-0.011605607212839167	0.031020742589463343	-0.0006795959618851586	-0.011732099669090282	-0.011161991628621566	-0.007076519456950898	-0.00021741621288646638	0.03636411039033685	0.025102016050994463	0.010860751782242153	0.004384364128850342	0.0014136176246623445
14	0.011749983568375776	0.006242180211906438	-0.029170981940898136	-0.011171876358824337	-0.0035328527382640735	0.042825476413816004	0.003225066470785397	-3.612853551637096e-09	-9.526561582843029e-09	-0.02414116585189588	-0.017688797176123636	-0.009620219489000267	0.03612639665364667	0.011611493046664938	0.0025545308066557246	0.0001642020731153347	-0.022642326221042525	0.01706525583865732	0.011849570470031386	0.005299277019033051	0.001935042097553565	0.02995756956900997	0.024139024377865935	0.01644771795510712	0.009682282039032323	-0.027412781150873995	0.0011775820266492112	0.01000629243293324	0.009385909003026967	0.005921865650726461	0.0013934468246916776	-0.03233625656045551	-0.020667413397531136	-0.008931650498391291	-0.003599798975134741	-0.0011580091390373587
15	-0.010029341589476081	-0.0052857371663638806	0.024970837210802045	0.009392710593695518	0.002970237782667853	-0.036768977734699546	-0.002380801112185143	3.564278983940999e-09	-7.324472074132558e-09	0.020719180312339155	0.01500541903901472	0.008132711874844442	-0.03121494575922609	-0.009643265554204646	-0.0021000834383261544	-0.00012123087820591678	0.019929331299422454	-0.015222389896763049	-0.009962482211425011	-0.004455362637396695	-0.0016268496679818002	-0.025972447458712567	-0.020547337871571623	-0.013927541691708	-0.008178532839837998	0.024204498067302554	-0.0014126352518484535	-0.008601733157207801	-0.007978675813159777	-0.005014479236468015	-0.002006651168174272	0.02868201202740431	0.017269565710373632	0.007455990863210476	0.003001109182238598	0.0009634992219447143
16	0.008636781238570873	0.004522410508660478	-0.021553379081352117	-0.007989128713858958	-0.0025263807919297682	0.03181278072027238	0.0017919378559634392	-3.569461230343919e-09	-6.43551069185947e-09	-0.017920946425425487	-0.012857317812938899	-0.006948811784112304	0.027143825336911526	0.00811831992741093	0.0017526977283804064	9.123380591304292e-05	-0.017580651876539843	0.01356436528323645	0.008473759202506634	0.0037895686759778415	0.001383769059621135	0.022645196231151313	0.01765491193491935	0.011916241970448575	0.006983294921484858	-0.02140336905038773	0.0014994361654634314	0.007449580808308142	0.006848046522301953	0.004290344696060822	0.0022954897454123824	-0.02545014539450804	-0.014613862739119313	-0.006304302672349593	-0.0025346581608902915	-0.0008124544982988865
17	-0.007497312027879823	-0.0039048523413390333	0.018745135838011903	0.0068644244397056044	0.0021707223608175784	-0.02772167360060215	-0.0013718887044828485	3.6838326047615387e-09	-4.5197917780537245e-09	0.015612475683650526	0.011115080064334476	0.005993168964125286	-0.023749686554193978	-0.006915020528413529	-0.001481785626980856	-6.98567685085101e-05	0.015558720751888667	-0.012098689640086166	-0.007280830122037958	-0.003256087843994172	-0.0011889430957819228	-0.019855914943230444	-0.015297612455952226	-0.010289009164354157	-0.00601957234082073	0.018977451252764198	-0.0015027730068171063	-0.006496723889660583	-0.005928391648225482	-0.0037044610737424497	-0.0023960803257063747	0.022626091613364093	0.012502505504177459	0.005389756565253449	0.002164949612842262	0.0006929500541407594
18	0.006555501544501408	0.0033991502237911593	-0.01641602647765568	-0.005950817200191718	-0.0018818112761265588	0.024316233726748866	0.0010662712261888857	-3.2079835707331024e-09	-3.6977208407003175e-09	-0.013691796510515747	-0.00968546244755445	-0.00521209073556747	0.020901983686970285	0.005950383948455757	0.0012668556432314305	5.428746430655519e-05	-0.013820178040823743	0.010813940410864847	0.006311803383670834	0.002822715095536671	0.001030718304491141	0.017505579921654565	0.01335557003572796	0.008956526992098474	0.005232609468405112	-0.01688228390117558	0.001459996211758658	0.005702376972000778	0.005171900414699699	0.0032247225135021125	0.0023878994865524114	-0.020171119513614458	-0.010798891655412365	-0.004652619125624734	-0.001867311178289672	-0.0005969970266584176
19	-0.005769848258710024	-0.0029805586477840663	0.014467583615444713	0.005199715404017479	0.0016442944764129485	-0.021458897120729212	-0.0008399694791107969	3.19164790836886e-09	-2.485730266793612e-09	0.012080860552985873	0.008500047379299252	0.0045665876895994014	-0.018497276872670082	-0.005166314597765907	-0.001093743315405425	-4.27708684682184e-05	0.01232348856547226	-0.009691688670514561	-0.005515138766926553	-0.0024664442793004577	-0.000900611306733927	-0.015514005294523157	-0.011739905995870572	-0.00785356168352055	-0.004582753558360133	0.01507244741415196	-0.0013929361207474355	-0.005035051323541519	-0.0045433891581980485	-0.0028276022482458816	-0.0023181481402027586	0.018039960192841965	0.009406340307881067	0.004050595500627794	0.0016245831840982535	0.0005188408145442024
20	0.005108894801134601	0.002630700604993933	-0.01282452040738684	-0.004575588432201475	-0.0014469265880182722	0.019043441915315335	0.0006697448882678848	-2.6733639348013884e-09	-1.963826737255602e-09	-0.010719480207868315	-0.0075078273486780004	-0.004027803657957275	0.016453719733009603	0.004521208989178093	0.0009524672117366909	3.409917264576947e-05	-0.011031695309346865	0.008712006400743712	0.00485315183467883	0.0021703887916968583	0.0007925185410339125	0.01381676234884244	0.010383759541233032	0.006931714281412466	0.004040691933776382	-0.013506194160070012	0.0013144375113888676	0.004470358785039508	0.004016395988779264	0.002495704656765267	0.0022151809117662955	-0.01618848167760383	-0.008254938676328271	-0.003553230629502234	-0.0014242242738789414	-0.00045446197992579055
