l	222-2	213-3	223-2	204-4	214-3	224-2	322-2	332-1	313-3	323-2	333-1	304-4	314-3	324-2	334-1	422-2	432-1	4420	413-3	423-2	433-1	4430	404-4	414-3	424-2	434-1	4440
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.014893651844918704	-0.03083501153587513	-0.05034701033838431	0.03784541671779509	0.07282317377787424	0.08173383445518768	-0.02014261572261398	-0.05549679646864341	0.013115267166604574	0.05416306021442644	0.10539121693132732	0.009265977944244795	-0.009090401069739929	-0.056036203308845234	-0.1045714779312985	0.0018205178006010852	0.030107709268982964	0.11183077151609994	0.01152136646606548	0.01304141012009677	-0.021806887591652502	-0.11604043781060694	-0.014736346819589366	-0.0371886614101248	-0.05335956694528545	-0.03411159371242295	0.046904214333930466
5	-0.02155458427509093	0.054768011823906754	0.06044179866533864	-0.07759342889250308	-0.10538858909188753	-0.06899268037976937	0.04157311354504723	0.07017422871122653	-0.042702445190454755	-0.10042912364037322	-0.10034723040913623	0.0020772016140852465	0.04917936580026378	0.08429166275231402	0.04606556837385971	-0.019070831984693493	-0.07870423869062405	-0.12381207955446243	-0.0124120593644038	0.016811234801044128	0.07768396608270871	0.07196228433476483	0.038486527494577136	0.05815052831697389	0.04138717040460235	0.007572997564454804	0.038445050793974464
6	0.018521626034356958	-0.057519579762962694	-0.03912860701270275	0.094733026575581	0.08010395016014729	0.018233038449384367	-0.04853172685288985	-0.04984196456339625	0.06961998407687624	0.09590896245334886	0.04089297845261058	-0.0337208458479757	-0.07451045597002798	-0.0410257476002185	0.02555518171241188	0.04311135509465688	0.09340196976675945	0.07170018097688165	-0.010428867925790744	-0.06280360601771244	-0.07032098720976344	0.005194931652899214	-0.046021004195402046	-0.030892185357809767	-0.004626474234897047	-0.03239587186632697	-0.06477926504187512
7	-0.01316425781222771	0.04649137294023683	0.02094072892992278	-0.08657447403766891	-0.041641076575975475	-1.8078346843203736e-08	0.041363910672022455	0.029815914876146887	-0.07498861565300673	-0.06116793177253606	-0.012594764809665496	0.05988953244022375	0.05593124237532036	-0.008253035215966108	-0.019565992992823942	-0.054034677948617486	-0.07052381718246341	-0.03654809984539909	0.040890355003519376	0.06970398918297224	0.020922480015880356	-0.014056430246616389	0.02426701664478605	-0.005449812690627882	0.016784067066392478	0.059128990722913846	0.016537100715755853
8	0.0092168226576876	-0.034345146501358594	-0.012463416154828362	0.06869132731753966	0.019826790930151758	2.2217642902622447e-06	-0.031158550396819695	-0.019080633312787813	0.06425582057916865	0.03502093513788494	0.007141242051644578	-0.06563531209308665	-0.02471978718091651	0.016717010515458083	0.004824298301369577	0.04946489769556735	0.04626570332556154	0.02289778775182733	-0.05552214960306051	-0.04597423971206706	-3.9656331758234125e-07	0.005045250508817852	0.00595500289724312	0.007959668038767931	-0.04097208308650093	-0.033815650389129134	-0.0006770766431317386
9	-0.006555993646464518	0.0251484796317436	0.007985310017704446	-0.05209327886225578	-0.01037105906949843	-8.04855663165388e-09	0.023043315158278167	0.012853669918873042	-0.05040910353799337	-0.021789034249778107	-0.004406137956851229	0.0580887223013332	0.007111311881540503	-0.010709956414975533	-0.003094676350928324	-0.03983974489124689	-0.03166629416158156	-0.015208849723644096	0.05346146328420087	0.026014828656477154	-0.0011612325654793327	-0.003592043404618509	-0.023377123649635144	0.006768492504554359	0.0368990311997616	0.012876616447731533	0.003736833015727356
10	0.004767723293093482	-0.018618645161523863	-0.005403141211847302	0.039368339046099134	0.005828033580312146	-4.378266457018926e-09	-0.017161843896699475	-0.009017704623196388	0.03881912269825958	0.014411531274152694	0.0028956926130492213	-0.04747980678729056	-0.000363446379520827	0.007249069407264158	0.0020926410737880834	0.031110598666599893	0.022457350393143016	0.010565517431116724	-0.04529297254578502	-0.01584967437796237	0.0013810677552379108	0.0026114003329702797	0.027509529086809245	-0.01498043468531126	-0.024636347588718525	-0.008591405194686845	-0.002485417439526686
11	-0.0035450984081858454	0.014010914496986625	0.0038132893480764952	-0.030023386896088022	-0.0034668052820896788	-1.998708814732782e-09	0.012965178669337047	0.0065384281571484165	-0.029956592816305815	-0.009990733321823564	-0.0019971091052828193	0.037951992537205076	-0.0021619225534249935	-0.005116066641842892	-0.0014768746101278736	-0.024213625169151928	-0.016409531281553848	-0.007605927876573407	0.036921991922649285	0.010232132149902887	-0.0012971619672919473	-0.001941725554822617	-0.02576988055460958	0.016225213222837334	0.017209837281252655	0.005993117516542895	0.0017333903617665913
