l	223-3	214-4	224-3	332-2	323-3	333-2	314-4	324-3	334-2	432-2	442-1	423-3	433-2	443-1	414-4	424-3	434-2	444-1
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.016040525134107954	-0.02947084267840824	-0.041670948126712896	0.016040525134107954	-0.023727903136809777	-0.05218971802814807	0.014142561306208837	0.04868066657017226	0.0784816183202195	-0.013895060898008205	-0.049111360891298146	0.0031787342561835114	0.032248230081032794	0.0876306513575365	0.012136044023635223	0.011317130141938078	-0.018976498616791796	-0.07519661536194056
6	-0.02044250048270875	0.04622660803559162	0.04084805238296979	-0.02044250048270875	0.042800826509867156	0.053950744547538745	-0.039648812644704545	-0.07412175591124558	-0.052018496223183004	0.029966846556635913	0.05392078246287886	-0.022518585956750676	-0.06768434773075363	-0.06843777722569103	-0.010489061642530603	0.014925638716400095	0.04598866131850132	0.01412576829942013
7	0.016032582624740947	-0.04418513051898003	-0.02082053221262501	0.016032582624740947	-0.04506032970558843	-0.030819700644094845	0.05780638351308567	0.05679727396786398	0.006341909581057082	-0.03471796315256961	-0.03435816286027347	0.04401907259088825	0.06501910498994691	0.02103723738329765	-0.01108030143348142	-0.04182920685677372	-0.01996843450790511	0.029264052877720374
8	-0.01058403397127296	0.03305651100951983	0.008247287567440802	-0.01058403397127296	0.035380237615133585	0.014712553905736399	-0.05700045360326329	-0.02656147343893941	0.004850993136686469	0.02841688160711872	0.0187944542902838	-0.04983055813411943	-0.03849396619208592	-0.0036367237291448735	0.034314218946545454	0.03450427174672501	-0.014030874089184657	-0.01583417066513552
9	0.006918153012408911	-0.022789375722458274	-0.0037187333113670976	0.006918153012408911	-0.02483927390584019	-0.007903402232641467	0.04536976658121611	0.00977482813169324	-0.002664788539437988	-0.02024645171268873	-0.011102513963342069	0.04214331614394919	0.01955275820117548	0.0016415339520130508	-0.0422337425941046	-0.012737878812768758	0.016811355063214083	0.003970858534147345
10	-0.0046108756051827455	0.01563825011322903	0.0018429870447581507	-0.004610875605182744	0.017206315814152377	0.004616330546014696	-0.03331988800748017	-0.003634414424277356	0.001586183140231357	0.014129554586354667	0.006950334887059598	-0.031723786889227786	-0.010903245807930066	-0.0008126858258175351	0.03777794957734874	0.00054598882527569	-0.009887023104179417	-0.0023369848426249727
11	0.0031521596250048767	-0.010886868107435159	-0.0009827453429252012	0.0031521596250048745	-0.012046885166972892	-0.0028718570975024807	0.024123167527021563	0.001227402888726829	-0.001000882863333241	-0.009936655905226207	-0.004555497230694263	0.023273959680522503	0.006524607814457937	0.00043334691765858804	-0.030027440288226584	0.0030911320419730547	0.006187140488928114	0.0014601174131972745
12	-0.0022100216535949047	0.007727227514166019	0.0005556594194851528	-0.0022100216535949043	0.008582883626121031	0.0018768479139151248	-0.017559934403544517	-0.00025568118819370477	0.0006615557216848528	0.007100080160222369	0.003099623229452855	-0.017080947055929895	-0.004127412711831029	-0.0002450246485807358	0.023074418042243854	-0.0038351486132570814	-0.004061566465097435	-0.0009580929537550653
